id,empresa_id,camada,encontrado,evidencia,fonte_url,checado_em,publicado_em
116,16,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:46:23.920023+00,
117,18,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:46:34.858733+00,
118,19,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:46:45.588412+00,
119,20,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:46:56.005128+00,
120,21,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:47:07.171801+00,
121,22,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:47:18.659544+00,
122,24,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:47:29.763505+00,
123,25,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:47:41.204205+00,
124,5,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:47:52.790064+00,
125,7,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:48:03.409224+00,
126,17,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:48:13.994932+00,
127,23,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:48:25.279386+00,
128,2,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:48:35.223384+00,
129,15,ecossistema,false,,https://www.openstartups.net/oportunidades/startups/,2026-06-28 12:48:45.561231+00,
182,8,imprensa,false,,,2026-06-28 19:46:31.717352+00,
183,9,imprensa,false,,,2026-06-28 19:46:41.031588+00,
184,10,imprensa,false,,,2026-06-28 19:46:51.012764+00,
185,11,imprensa,false,,,2026-06-28 19:46:59.764198+00,
186,12,imprensa,false,,,2026-06-28 19:47:09.130933+00,
187,14,imprensa,false,,,2026-06-28 19:47:18.188778+00,
188,16,imprensa,false,,,2026-06-28 19:47:26.947892+00,
189,18,imprensa,false,,,2026-06-28 19:47:35.968233+00,
190,19,imprensa,false,,,2026-06-28 19:47:45.234554+00,
191,20,imprensa,false,,,2026-06-28 19:47:58.728496+00,
192,21,imprensa,false,,,2026-06-28 19:48:08.173195+00,
193,22,imprensa,false,,,2026-06-28 19:48:18.724833+00,
194,24,imprensa,false,,,2026-06-28 19:48:28.426834+00,
195,25,imprensa,false,,,2026-06-28 19:48:37.763025+00,
196,5,imprensa,false,,,2026-06-28 19:48:47.101911+00,
197,7,imprensa,false,,,2026-06-28 19:48:56.101594+00,
198,17,imprensa,false,,,2026-06-28 19:49:07.178422+00,
